Ticker,Date,Label,Close,Probability,Range,Detect,Five,End
000670,2020-03-09,buy,552000,0.812,2020-02-28/2020-03-02/2020-03-03/2020-03-04/2020-03-05/2020-03-06,2020-03-09,509000,2020-03-16
000670,2020-03-10,buy,547000,0.727,2020-03-05/2020-03-06/2020-03-09,2020-03-10,509000,2020-03-16
000670,2020-03-11,buy,521000,0.798,2020-03-05/2020-03-06/2020-03-09/2020-03-10,2020-03-11,509000,2020-03-16
000670,2020-03-13,buy,498000,0.789,2020-03-10/2020-03-11/2020-03-12,2020-03-13,449500,2020-03-18
000670,2020-03-23,buy,384000,0.775,2020-03-18/2020-03-19/2020-03-20,2020-03-23,470000,2020-03-30
000670,2020-03-25,buy,446500,0.704,2020-03-19/2020-03-20/2020-03-23/2020-03-24,2020-03-26,470000,2020-03-30
000670,2020-06-29,buy,458500,0.725,2020-06-18/2020-06-19/2020-06-22/2020-06-23/2020-06-24/2020-06-25/2020-06-26,2020-06-29,487000,2020-07-06
000670,2020-07-01,buy,471500,0.756,2020-06-24/2020-06-25/2020-06-26/2020-06-29/2020-06-30,2021-04-01,487000,2020-07-06
000670,2020-07-02,buy,485500,0.774,2020-06-19/2020-06-22/2020-06-23/2020-06-24/2020-06-25/2020-06-26/2020-06-29/2020-06-30/2020-07-01,2020-07-23,489000,2020-07-07
000670,2020-08-20,buy,481500,0.769,2020-08-12/2020-08-13/2020-08-14/2020-08-18/2020-08-19,2020-08-20,485500,2020-08-25
000670,2020-08-27,buy,480000,0.715,2020-08-19/2020-08-20/2020-08-21/2020-08-24/2020-08-25/2020-08-26,2020-08-27,492500,2020-09-01
000670,2020-09-25,buy,458500,0.763,2020-09-21/2020-09-22/2020-09-23/2020-09-24,2020-09-25,470000,2020-10-05
000670,2020-09-28,buy,465000,0.798,2020-09-21/2020-09-22/2020-09-23/2020-09-24/2020-09-25,2020-09-28,470000,2020-10-05
000670,2020-09-29,buy,469000,0.747,2020-09-21/2020-09-22/2020-09-23/2020-09-24/2020-09-25/2020-09-28,2020-09-29,470000,2020-10-05
000670,2020-11-03,buy,496000,0.736,2020-10-28/2020-10-29/2020-10-30/2020-11-02,2021-10-14,507000,2020-11-09
000670,2020-12-01,buy,523000,0.736,2020-11-24/2020-11-25/2020-11-26/2020-11-27/2020-11-30,2020-12-01,522000,2020-12-07
000670,2021-01-13,buy,542000,0.729,2021-01-08/2021-01-11/2021-01-12,2021-01-13,531000,2021-01-18
000670,2021-01-29,buy,516000,0.713,2021-01-25/2021-01-26/2021-01-27/2021-01-28,2021-01-29,523000,2021-02-03
000670,2021-02-01,buy,520000,0.772,2021-01-25/2021-01-26/2021-01-27/2021-01-28/2021-01-29,2021-02-01,527000,2021-02-08
000670,2021-02-02,buy,527000,0.835,2021-01-25/2021-01-26/2021-01-27/2021-01-28/2021-01-29/2021-02-01,2021-03-24,527000,2021-02-08
000670,2021-02-03,buy,523000,0.714,2021-01-25/2021-01-26/2021-01-27/2021-01-28/2021-01-29/2021-02-01/2021-02-02,2021-03-09,527000,2021-02-08
000670,2021-03-03,buy,617000,0.729,2021-02-25/2021-02-26/2021-03-02,2021-03-03,623000,2021-03-08
000670,2021-03-18,buy,610000,0.758,2021-03-08/2021-03-09/2021-03-10/2021-03-11/2021-03-12/2021-03-15/2021-03-16/2021-03-17,2021-03-18,579000,2021-03-23
000670,2021-03-29,buy,588000,0.708,2021-03-22/2021-03-23/2021-03-24/2021-03-25/2021-03-26,2021-04-13,588000,2021-04-05
000670,2021-05-17,buy,700000,0.72,2021-05-12/2021-05-13/2021-05-14,2021-05-17,704000,2021-05-24
000670,2021-06-18,buy,665000,0.72,2021-06-14/2021-06-15/2021-06-16/2021-06-17,2021-06-18,637000,2021-06-23
000670,2021-06-24,buy,638000,0.744,2021-06-18/2021-06-21/2021-06-22/2021-06-23,2021-06-24,650000,2021-06-29
000670,2021-07-13,buy,632000,0.704,2021-07-07/2021-07-08/2021-07-09/2021-07-12,2021-07-19,654000,2021-07-19
000670,2021-08-24,buy,655000,0.743,2021-08-19/2021-08-20/2021-08-23,2021-09-30,696000,2021-08-30
000670,2021-10-06,buy,645000,0.74,2021-09-30/2021-10-01/2021-10-05,2021-11-12,686000,2021-10-12
000670,2021-11-01,buy,694000,0.728,2021-10-27/2021-10-28/2021-10-29,2021-11-01,686000,2021-11-08
000670,2021-11-19,buy,650000,0.722,2021-11-16/2021-11-17/2021-11-18,2021-11-19,647000,2021-11-24
000670,2021-11-22,buy,665000,0.729,2021-11-16/2021-11-17/2021-11-18/2021-11-19,2021-11-22,641000,2021-11-29
000670,2021-11-30,buy,632000,0.806,2021-11-22/2021-11-23/2021-11-24/2021-11-25/2021-11-26/2021-11-29,2021-11-30,659000,2021-12-06
000670,2021-12-03,buy,642000,0.701,2021-11-26/2021-11-29/2021-11-30/2021-12-01/2021-12-02,2021-12-09,654000,2021-12-08
000670,2021-12-16,buy,652000,0.715,2021-12-08/2021-12-09/2021-12-10/2021-12-13/2021-12-14/2021-12-15,2021-12-16,659000,2021-12-21
